11,52,3
-3,60,-22
1,64,-12
12,81,-2
19,85,-9
13,80,-14
12,75,-18
7,64,-8
4,60,-6
4,61,-8
9,64,-4
9,63,-5
11,66,-4
14,63,-2
14,61,0
16,61,2
15,61,3
14,59,4
13,60,3
16,61,4
18,62,6
20,61,6
21,60,8
22,58,10
22,57,11
25,58,11
24,58,12
25,58,14
26,59,14
26,59,15
27,59,17
26,58,18
25,59,17
24,61,16
24,60,16
24,60,16
24,60,18
25,60,19
28,59,22
31,55,24
30,52,23
30,50,27
29,49,29
29,47,30
36,46,30
38,43,34
45,38,45
54,36,45
57,32,47
56,23,49
52,17,52
49,19,55
40,18,51
28,13,46
21,16,45
20,18,51
7,8,55
0,6,52
-15,-7,46
-6,-9,59
-14,-14,61
-18,-24,65
-19,-19,56
-19,-15,56
-18,-13,56
-22,-13,54
-16,-13,58
-18,-16,52
-19,-17,51
-20,-11,47
-17,-5,53
-19,-7,60
-23,-13,65
-25,-11,58
-24,-15,60
-27,-16,63
-35,-11,69
-34,-7,66
-28,-5,66
-25,-13,61
-9,-14,49
-2,-9,55
-5,-6,60
-20,-11,62
-19,-4,59
-16,-4,61
-18,-13,61
-25,-18,59
-22,-13,61
-14,-11,69
-18,-14,70
-17,-12,69
-13,-9,69
-9,-7,63
-12,-8,58
-11,-10,51
-9,-6,48
-7,-8,49
-13,-8,57
-18,-5,66
-20,-11,82
-11,-14,81
-9,-14,74
-9,-11,55
-13,-4,37
-12,-6,42
-13,2,55
-22,-2,68
-20,-8,69
-13,-9,64
-12,-12,64
-11,-13,64
-9,-10,63
-9,-7,65
-10,-8,66
-11,-9,66
-8,-6,65
-12,-3,64
-16,-3,59
-15,-3,55
-13,-4,58
-14,-8,62
-14,-7,59
-15,-4,58
-15,-7,58
-15,-10,59
-17,-6,57
-17,-5,56
-16,-6,62
-19,-10,64
-21,-7,62
-18,-4,63
-18,-5,64
-20,-7,64
-21,-4,60
-18,-4,62
-18,-7,65
-21,-8,62
-20,-4,58
-19,-3,59
-19,-7,58
-23,-10,58
-24,-7,56
-22,-6,60
-23,0,65
-25,-3,59
-25,-9,58
-22,-10,59
-18,-7,63
-23,-10,57
-25,-8,55
-22,-3,58
-22,-3,58
-23,-6,59
-25,-7,59
-22,-3,58
-20,-2,62
-23,-4,60
-22,-6,60
-21,-5,60
-19,-3,62
-19,-2,61
-20,-1,62
-19,-4,62
-18,-2,62
-20,-2,61
-24,0,59
-24,-1,58
-20,-4,59
-20,-5,58
-19,-6,56
-17,-1,53
-14,-1,56
-16,-1,59
-21,2,62
-26,2,65
-24,2,63
-28,-3,56
-30,-11,53
-33,-9,54
-27,-11,61
-25,-11,62
-27,-11,64
-30,-14,59
-28,-11,57
-24,-15,57
-23,-12,53
-22,-6,52
-17,-7,53
-15,-1,52
-11,-4,53
-8,9,56
-2,10,55
-1,11,58
4,20,62
5,23,59
3,25,63
8,22,61
11,26,64
10,22,67
10,21,63
4,25,62
22,25,74
11,33,65
11,25,66
2,37,64
5,28,62
5,26,66
2,24,62
-1,26,61
-1,26,61
4,20,62
3,25,60
0,25,60
1,26,59
3,23,59
1,23,60
1,24,60
1,20,60
2,19,61
1,20,61
1,20,61
0,21,63
-1,21,63
0,22,63
-1,22,60
1,21,60
1,20,59
1,19,58
2,20,58
3,21,58
2,21,61
2,20,62
3,18,63
3,19,66
4,19,67
5,18,65
8,15,65
10,13,66
12,15,65
16,18,68
17,20,67
18,25,65
19,24,64
16,27,61
20,16,55
17,8,48
8,34,45
-5,20,40
-4,18,36
8,18,52
-6,27,60
0,23,59
4,21,52
0,30,57
0,31,55
-14,8,59
16,50,50
20,36,57
26,46,57
23,32,49
23,37,50
22,45,43
13,31,42
14,35,52
14,29,48
10,53,40
24,63,50
3,29,75
10,19,64
19,12,50
27,23,58
30,28,57
21,21,59
15,23,58
8,21,56
14,15,59
15,15,61
12,11,57
17,12,59
15,9,59
15,8,60
15,5,63
17,7,63
17,6,63
16,6,60
15,6,58
16,4,62
15,7,62
15,6,62
16,4,61
17,3,61
17,4,62
18,3,60
20,4,58
19,3,57
19,1,59
17,1,59
17,5,59
17,8,59
17,6,59
17,2,62
16,1,62
16,2,62
15,2,61
17,2,63
16,3,63
15,3,62
16,3,63
15,3,62
15,3,63
15,3,62
15,4,60
