id,indra_time,browser_latency,reading_time,attention_esense,meditation_esense,signal_quality,createdAt,updatedAt,label,raw_len,raw_mean,raw_std,raw_min,raw_max,raw_median,raw_q05,raw_q95,raw_abs_mean,raw_clip_ratio,bp_delta,bp_theta,bp_low_alpha,bp_high_alpha,bp_low_beta,bp_high_beta,bp_low_gamma,bp_mid_gamma,split
11,2015-05-09 23:32:38.921,-168,2015-05-09 16:32:39.200,20,48,0,2015-05-09 23:32:39.424,2015-05-09 23:32:39.424+00,blink,512.0,54.908203125,71.3655680822954,-173.0,250.0,56.0,-72.9,156.45,74.072265625,0.0,112754.0,64907.0,31522.0,14334.0,11830.0,5690.0,15951.0,5565.0,val
5,2015-05-09 23:32:38.964,1022,2015-05-09 16:32:38.123,94,38,0,2015-05-09 23:32:37.164,2015-05-09 23:32:37.164+00,blink,512.0,30.798828125,53.26038409786123,-136.0,163.0,37.5,-81.0,101.45,51.228515625,0.0,103787.0,78058.0,29631.0,26096.0,28812.0,14019.0,11781.0,10222.0,test
7,2015-05-09 23:32:39.044,14,2015-05-09 16:32:39.061,47,37,0,2015-05-09 23:32:39.163,2015-05-09 23:32:39.163+00,blink,512.0,53.751953125,46.75128461735359,-97.0,284.0,53.0,-8.0,115.34999999999997,57.794921875,0.0,99817.0,25711.0,1310.0,3352.0,3516.0,3568.0,1203.0,861.0,train
13,2015-05-09 23:32:39.087,282,2015-05-09 16:32:38.862,41,67,0,2015-05-09 23:32:39.219,2015-05-09 23:32:39.219+00,blink,512.0,39.962890625,130.89820632754785,-293.0,644.0,48.0,-196.0,232.24999999999997,102.380859375,0.0,608967.0,139024.0,23652.0,34318.0,39360.0,11955.0,19026.0,20564.0,train
3,2015-05-09 23:32:39.201,14855,2015-05-09 16:32:24.417,34,43,0,2015-05-09 23:32:09.709,2015-05-09 23:32:09.709+00,blink,512.0,60.580078125,69.53434286375256,-46.0,384.0,48.5,-17.0,189.14999999999992,64.294921875,0.0,92105.0,56084.0,19271.0,12024.0,3069.0,5806.0,2806.0,1495.0,test
4,2015-05-09 23:32:39.241,7693,2015-05-09 19:32:31.618,47,64,0,2015-05-09 23:32:23.990,2015-05-09 23:32:23.99+00,blink,512.0,49.51171875,81.67315206921366,-395.0,187.0,64.0,-98.35,147.0,78.1015625,0.0,76483.0,43842.0,2660.0,2261.0,3653.0,3449.0,1943.0,888.0,test
14,2015-05-09 23:32:39.269,721,2015-05-09 16:32:38.715,44,48,0,2015-05-09 23:32:38.056,2015-05-09 23:32:38.056+00,blink,512.0,31.80859375,111.05120266637124,-290.0,425.0,32.5,-178.39999999999998,218.45,84.015625,0.0,249844.0,36594.0,3778.0,7029.0,1318.0,1923.0,1361.0,387.0,train
1,2015-05-09 23:32:39.316,13405,2015-05-09 16:32:25.918,48,66,0,2015-05-09 23:32:12.569,2015-05-09 23:32:12.569+00,blink,512.0,29.431640625,111.60133784254492,-373.0,252.0,58.0,-227.8,173.79999999999995,91.802734375,0.0,140267.0,174085.0,59802.0,30845.0,16702.0,11592.0,3300.0,2430.0,val
12,2015-05-09 23:32:39.349,1517,2015-05-09 16:32:38.062,48,70,0,2015-05-09 23:32:36.618,2015-05-09 23:32:36.618+00,blink,512.0,29.662109375,45.651587820694,-121.0,182.0,32.5,-41.0,100.45,43.716796875,0.0,300873.0,374662.0,38992.0,6883.0,6460.0,11003.0,9179.0,5336.0,test
2,2015-05-09 23:32:39.351,138,2015-05-09 16:32:39.461,48,66,0,2015-05-09 23:32:39.499,2015-05-09 23:32:39.499+00,blink,512.0,31.857421875,117.63913464320991,-408.0,274.0,53.0,-297.55,153.45,89.029296875,0.0,285549.0,4584.0,5701.0,10185.0,6664.0,6065.0,3741.0,2724.0,val
8,2015-05-09 23:32:39.544,-38,2015-05-09 16:32:39.804,51,47,0,2015-05-09 23:32:39.909,2015-05-09 23:32:39.909+00,blink,512.0,47.126953125,55.75425201075746,-70.0,263.0,40.0,-31.25,139.45,54.818359375,0.0,117894.0,23369.0,7856.0,5616.0,13314.0,4138.0,1968.0,1235.0,train
10,2015-05-09 23:32:39.690,-17,2015-05-09 16:32:39.871,69,38,0,2015-05-09 23:32:39.955,2015-05-09 23:32:39.955+00,blink,512.0,35.212890625,114.24726298453189,-397.0,442.0,27.0,-122.0,259.35,82.443359375,0.0,335327.0,108476.0,12351.0,22721.0,29442.0,40806.0,9033.0,6435.0,train
6,2015-05-09 23:32:39.700,"-1,560",2015-05-09 16:32:41.262,60,11,0,2015-05-09 23:32:42.880,2015-05-09 23:32:42.88+00,blink,512.0,37.044921875,52.8902528014392,-104.0,237.0,36.0,-44.45,122.0,51.017578125,0.0,322446.0,186414.0,38028.0,20406.0,18241.0,21957.0,18599.0,6422.0,train
9,2015-05-09 23:32:39.783,10582,2015-05-09 16:32:29.342,23,64,0,2015-05-09 23:32:18.869,2015-05-09 23:32:18.869+00,blink,512.0,36.365234375,73.3725337795167,-181.0,225.0,36.0,-86.0,150.0,67.095703125,0.0,646098.0,789904.0,77095.0,66279.0,11264.0,41106.0,57670.0,45293.0,train
15,2015-05-09 23:32:39.789,9271,2015-05-09 16:32:30.716,43,37,0,2015-05-09 23:32:21.509,2015-05-09 23:32:21.509+00,blink,512.0,49.46875,113.0257463409886,-137.0,492.0,36.0,-91.0,320.34999999999974,78.03515625,0.0,312473.0,115682.0,17425.0,30896.0,24789.0,8490.0,10368.0,2831.0,train
11,2015-05-09 23:32:39.820,-168,2015-05-09 16:32:40.205,13,53,0,2015-05-09 23:32:40.437,2015-05-09 23:32:40.437+00,blink,512.0,50.5703125,44.68150022551104,-125.0,168.0,50.0,-20.0,121.45,56.796875,0.0,763617.0,191614.0,44025.0,47469.0,38172.0,15363.0,5092.0,13487.0,val
5,2015-05-09 23:32:39.873,1023,2015-05-09 16:32:39.127,88,38,0,2015-05-09 23:32:38.160,2015-05-09 23:32:38.16+00,blink,512.0,36.1328125,48.118038635109016,-89.0,188.0,29.0,-27.45,134.79999999999995,45.3828125,0.0,45260.0,11420.0,4309.0,1848.0,5211.0,4495.0,2551.0,1941.0,test
7,2015-05-09 23:32:39.951,14,2015-05-09 16:32:40.100,37,37,0,2015-05-09 23:32:40.150,2015-05-09 23:32:40.15+00,blink,512.0,48.740234375,33.77905147713695,-91.0,141.0,51.0,-12.0,93.79999999999995,53.474609375,0.0,146445.0,17981.0,4933.0,5338.0,7221.0,2359.0,1004.0,1142.0,train
13,2015-05-09 23:32:40.000,282,2015-05-09 16:32:39.887,41,74,0,2015-05-09 23:32:40.243,2015-05-09 23:32:40.243+00,blink,512.0,48.53125,69.46657104095105,-305.0,297.0,42.0,-49.45,174.24999999999994,64.41796875,0.0,596366.0,77595.0,75873.0,4487.0,16674.0,9834.0,24030.0,9478.0,train
4,2015-05-09 23:32:40.149,7693,2015-05-09 19:32:32.630,41,48,0,2015-05-09 23:32:25.004,2015-05-09 23:32:25.004+00,blink,512.0,52.62890625,197.00386403743127,-546.0,884.0,71.0,-362.0,348.5999999999999,138.17578125,0.0,899657.0,140576.0,14846.0,10677.0,6272.0,8957.0,5332.0,5993.0,test
14,2015-05-09 23:32:40.170,721,2015-05-09 16:32:39.731,35,61,0,2015-05-09 23:32:39.069,2015-05-09 23:32:39.069+00,blink,512.0,69.439453125,62.14068783072752,-102.0,293.0,69.0,-30.8,178.45,77.072265625,0.0,717751.0,33790.0,20721.0,5913.0,4274.0,4073.0,1836.0,8109.0,train
